datetime,title,crime_type,address,zip
2017-02-10T19:50:00-05:00,Shots fired in Codman Square,Gunfire,Southern Ave. and Talbot Ave.,02124
2017-02-10T15:55:00-05:00,Bank near City Hall held up,Bank robbery,100 Cambridge St.,02114
2017-01-11T17:18:00-05:00,Woman not attacked while jogging around Chestnut Hill Reservoir: Large tree branch fell on her head,,,
2017-02-07T15:50:00-05:00,Shots fired in South Boston,Gunfire,356 Athens St.,02127
2017-02-06T10:05:00-05:00,Some people have all the luck - but not these two alleged dumbass bank robbers,Bank robbery,75 State St.,02109
2017-02-05T18:00:00-05:00,Two shot in Dorchester; one dies,Murder,24 Juliette St.,02122
2017-01-11T17:18:00-05:00,Woman not attacked while jogging around Chestnut Hill Reservoir: Large tree branch fell on her head,,,
2017-02-04T23:15:00-05:00,Man stabbed in the stomach in Forest Hills T station,Stabbing,New Washington St.,02130
2017-02-04T00:15:00-05:00,Woman shot in the wrist near Codman Square,Shooting,49 Rosedale St.,02124
2017-01-11T17:18:00-05:00,Woman not attacked while jogging around Chestnut Hill Reservoir: Large tree branch fell on her head,,,
2017-01-11T17:18:00-05:00,Woman not attacked while jogging around Chestnut Hill Reservoir: Large tree branch fell on her head,,,
2017-01-11T17:18:00-05:00,Woman not attacked while jogging around Chestnut Hill Reservoir: Large tree branch fell on her head,,,
2017-02-03T23:50:00-05:00,Several shots fired in South Boston,Gunfire,Dorchester St. and Old Colony Ave.,02127
2017-02-02T21:30:00-05:00,"Police say woman caught fare evading at Broadway throws hot coffee in T worker&#039;s face, punches cop",Assault and battery with a dangerous weapon,Broadway and Dorchester Ave.,02127
2017-02-01T09:20:00-05:00,Gunfire inside lobby of school headquarters in Dudley Square,Gunfire,2300 Washington St.,02119
2017-01-30T01:18:00-05:00,Man found stabbed repeatedly in Chinatown,Stabbing,Harrison Ave.,
2017-01-11T17:18:00-05:00,Woman not attacked while jogging around Chestnut Hill Reservoir: Large tree branch fell on her head,,,
2016-12-18T19:25:00-05:00,Police: Man faces lifelong brain problems after attack in South Boston bar,Assault and battery with a dangerous weapon,734 E. Broadway,02127
2017-01-30T21:10:00-05:00,Shots fired on Brookview Street in Dorchester,Gunfire,39 Brookview St.,02124
2017-01-30T21:00:00-05:00,Woman robbed at gunpoint on Mission Hill,Armed robbery,Calumet St. and Hillside St.,02120
2017-01-30T18:40:00-05:00,Shots fired on Dennis Street in Roxbury,Gunfire,46 Dennis St.,02119
2017-01-30T06:30:00-05:00,Man found shot to death on Regina Road in Dorchester,Murder,31 Regina Rd.,02124
2017-01-28T23:55:00-05:00,Car hit by gunfire near Codman Square,Gunfire,12 Elmhurst St.,02124
2017-01-28T22:51:00-05:00,Gunfire in Dorchester leads to arrests a couple blocks away,Gunfire,28 Bowdoin St.,02114
2017-01-27T22:50:00-05:00,Man found shot on Fairmount Hill in Hyde Park,Shooting,6 Summit Circle,02136
2017-01-26T23:55:00-05:00,Multiple shots fired in Franklin Field,Gunfire,50 Ames St.,02124
2017-01-24T09:45:00-05:00,Gunfire on Mission Hill Tuesday morning,Gunfire,Turquoise Way,02120
2017-01-21T18:34:00-05:00,Man shot to death on Nightingale Street in Dorchester,Murder,56 Nightingale St.,02124
2017-01-20T22:25:00-05:00,Shots fired in Mattapan park,Gunfire,Hunt Playground,02126
2017-01-20T15:30:00-05:00,"Trumpland, MA: White guy finishes Orange Line beatdown with a shoutout to the president",Assault and battery,200 Washington St.,02135
2017-01-19T15:55:00-05:00,Person robbed of phone at knifepoint in Chinatown,Armed robbery,40 Boylston St.,02116
2017-01-19T14:15:00-05:00,Codman Square bank held up,Bank robbery,305 Talbot Ave.,02124
2017-01-18T21:50:00-05:00,Mattapan market held up at gunpoint,Armed robbery,1300 Blue Hill Ave.,02126
2017-01-18T07:30:00-05:00,Police say girl indecently attacked near Hyde Park footbridge,Indecent assault and battery,Truman Parkway and Glenwood Ave.,02136
2017-01-17T22:00:00-05:00,Person shot on Jamaica Plain side of Jackson Square,Shooting,252 Centre St.,02130
2017-01-17T19:00:00-05:00,"Driver hits pedestrian on Dot Ave., then just keeps on driving",Hit and run,1850 Dorchester Ave.,02124
2017-01-17T16:15:00-05:00,Armed robbery on Centre Street in Jackson Square,Armed robbery,315 Centre St.,02130
2017-01-15T18:15:00-05:00,Person pepper-sprayed in the face in robbery,Armed robbery,Academy Rd. and Weaver Way,02119
2017-01-15T00:10:00-05:00,Humboldt Avenue market held up at gunpoint,Armed robbery,160 Humboldt Ave.,02121
2017-01-14T18:30:00-05:00,Gunfire on a Dorchester street,Gunfire,91 Dakota St.,02124
2017-01-14T13:00:00-05:00,Police: Man packed a gun for shopifting expedition to Lord &amp; Taylor,Illegal gun possession,St. James St. and Trinity Pl.,02116
2017-01-14T10:40:00-05:00,Man stomped in Dudley Square parking lot; gun later recovered at scene,Assault and battery with a dangerous weapon,115 Warren St.,02119
2017-01-14T00:30:00-05:00,Police: Guy with loaded gun arrested at Theater District club recently ordered to be shut down,Illegal gun possession,100 Warrenton St.,02116
2017-01-13T11:55:00-05:00,Car shot up in Mattapan,Gunfire,765 Morton St.,02126
2017-01-12T16:00:00-05:00,Two stabbed on Tremont Street in fight that may have started on the Common,Stabbing,144 Tremont St.,02111
2017-01-11T22:29:00-05:00,Man shot in Readville,Shooting,1833 Hyde Park Ave.,02136
2017-01-11T21:59:00-05:00,"Police: Man aims loaded gun at cops, drops it, picks it back up and aims it again before officer jumps on him",Illegal gun possession,Southern Ave. and Elmhurst St.,02124
2017-01-09T20:30:00-05:00,"Officer breaks up armed-robbery attempt at Roslindale gas station; suspects on the run, his gun goes off",Armed robbery,4139 Washington St.,02131
2017-01-09T19:27:00-05:00,Man shot to death in Roxbury,Murder,2 Dearborn St.,02119
2017-01-09T04:45:00-05:00,"Two arrested, loaded gun seized in police crackdown on Dorchester block with recent history of violence",Illegal gun possession,19 Browning Ave.,02124
2017-01-08T23:10:00-05:00,Dorchester convenience store held up at gunpoint,Armed robbery,378 Washington St.,02108
2017-01-06T13:30:00-05:00,Second gun arrest in less than three weeks made in West Roxbury,Illegal gun possession,75 Spring St.,02132
2017-01-06T10:10:00-05:00,Lower Mills bank held up; robber may have escaped in a taxi,Bank robbery,2250 Dorchester Ave.,02124
2017-01-03T08:53:00-05:00,Police say JP bank robber waited his turn in line before demanding money from teller,Bank robbery,515 Centre St.,02130
2017-01-02T23:15:00-05:00,Man stabbed in the foot downtown,Stabbing,31-35 India St.,02110
2017-01-02T17:20:00-05:00,Car hit by gunfire on Blue Hill Avenue,Gunfire,562 Blue Hill Ave.,02121
2017-01-02T13:01:00-05:00,Career criminal arrested for Roxbury carjacking,Carjacking,Walnut Ave. and Bower St.,02119
2017-01-01T06:00:00-05:00,"Police say drunk driver kills pedestrian in East Boston, then tries to walk away",Hit and run,220 Saratoga St.,02128
2016-12-30T12:30:00-05:00,Car shot behind Dorchester church,Gunfire,33 Stanton St.,02124
2016-12-29T18:00:00-05:00,Person stabbed outside Boston Medical Center,Stabbing,Melnea Cass Blvd. and Massachusetts Ave.,02119
2016-12-29T13:00:00-05:00,Man with boo-boo sought for Huntington Avenue bank holdup,Bank robbery,285 Huntington Ave.,02115
2016-12-28T22:00:00-05:00,Man shot in the stomach in Dorchester,Shooting,Draper St.,02122
2016-12-28T18:40:00-05:00,Two stabbed in Roslindale,Stabbing,3936 Washington St.,02131
2016-12-27T11:10:00-05:00,Man stabbed in the arm on Mt. Pleasant Avenue in Roxbury,Stabbing,43 Mt. Pleasant Ave.,02119
2016-12-25T23:20:00-05:00,Woman stabbed on Blue Hill Avenue; Lyft driver charged,Stabbing,967 Blue Hill Ave.,02124
2016-12-24T22:45:00-05:00,Teen found stabbed to death near East Boston stadium,Murder,East Boston Memorial Stadium,02128
2016-12-23T18:10:00-05:00,Man shot on Gleason Street in Dorchester,Shooting,9 Gleason St.,02121
2016-12-23T13:13:00-05:00,Hunt still on for woman whose Christmas spirit was harshed by Chinatown bank manager activating a silent alarm,Bank robbery,25 Stuart St.,02116
2016-12-22T19:25:00-05:00,Roxbury convenience store held up at gunpoint,Armed robbery,322 Blue Hill Ave.,02121
2016-12-22T09:30:00-05:00,DA: Man throws brick at police cruiser in the South End,Assault and battery with a dangerous weapon,Monsignor Reynolds Way and Harrison Ave.,02118
2016-12-22T09:00:00-05:00,Garden security guards charged with abusing homeless; one now faces criminal charges,Assault and battery with a dangerous weapon,100 Legends Way,02114
2016-12-21T23:45:00-05:00,Person shot at in Brighton,Gunfire,17 Ranelegh Rd.,02135
2016-12-20T13:30:00-05:00,Person stabbed at North End apartment building,Stabbing,185 Fulton St.,02109
2016-12-20T01:00:00-05:00,Woman charged with stabbing neighbor to death on Fayston Street in Dorchester,Murder,7 Fayston St.,02121
2016-12-19T16:30:00-05:00,Police: Tussle over Orange Line manners ends with man punching woman in the face after she pulls his glasses off,Assaul,145 Dartmouth St.,02116
2016-12-19T13:45:00-05:00,Cops investigating gang activity in West Roxbury arrest man with gun after struggle,Illegal gun possession,2000 Centre St.,02132
2016-12-19T03:00:00-05:00,"Uber driver punched in face in Chinatown, suffers concussion",Assault and battery,600 Washington St.,02111
2016-12-18T22:00:00-05:00,Sub shop held up at gunpoint on Tremont Street in Roxbury,Armed robbery,961 Tremont St.,02120
2016-12-15T21:00:00-05:00,"In East Boston, police came for the gun, but stayed for the cocaine, meth, heroin and cash",Illegal drug possession,217 Bennington St.,02128
2016-12-13T01:12:00-05:00,Man arrested for stomping man he found breaking into his car in Chinatown,Assault and battery with a dangerous weapon,Harrison Ave. and Oxford Pl.,02111
2016-12-12T21:55:00-05:00,Gunfire in Mattapan leaves street strewn with shell casings,Gunfire,Topalian St. and River St.,02126
2016-12-12T20:10:00-05:00,Man shot on D Street in South Boston,Shooting,165 D St.,02127
2016-12-12T14:55:00-05:00,"Man shot to death on Bullard Street, Dorchester",Murder,49 Bullard St.,02121
2016-12-11T16:10:00-05:00,"Two shot, one in the back, one in the stomach, on Mission Hill",Shooting,11 Sunset St.,02120
2016-12-09T19:00:00-05:00,Two arrested for gunpoint robbery of pizza delivery person in Mattapan,Armed robbery,19 Hiawatha Rd.,02126
2016-12-09T16:15:00-05:00,Body found in Belle Isle Marsh,Murder,1235 Bennington Ave.,02128
2016-12-09T04:20:00-05:00,Man shot in Jamaica Plain,Shooting,960 Parker St.,02130
2016-12-08T17:10:00-05:00,Man shot in Roxbury,Shooting,19 Harold Park,02119
2016-12-07T18:40:00-05:00,18-year-old armed career criminal charged with new gun offenses on Annunciation Road,Assault and battery with a dangerous weapon,80 Annunciation Rd.,02120
2016-12-06T18:30:00-05:00,Police: Bystanders come to aid of cop being beaten in Brighton,Assault and battery with a dangerous weapon,1240 Soldiers Field Rd.,02135
2016-12-04T17:10:00-05:00,Shot fired into Roslindale home&#039;s window,Gunfire,699 Hyde Park Ave.,02131
2016-12-03T00:12:00-05:00,Man found fatally shot after his car crashes into Mattapan house,Murder,Tileston St. and Rosemont St.,02136
2016-12-02T23:30:00-05:00,East Boston attack sends man to the hospital,Stabbing,389 Meridian St.,02128
2016-12-02T15:08:00-05:00,Man shot in Roxbury; suspect arrested,Shooting,6 Kenilworth St.,02119
2016-12-02T13:25:00-05:00,"Person shot on West Selden Street, Mattapan",Shooting,134 West Selden St.,02126
2016-12-01T23:50:00-05:00,Man shot at Normandy and Devon in Dorchester,Shooting,Normandy St. and Devon St.,02121
2016-12-01T12:20:00-05:00,Man shot in the back in Roxbury,Shooting,25 Wayne St.,02121
2016-11-30T22:10:00-05:00,Person stabbed in the hand in Roxbury,Stabbing,Tremont St. and Coventry St.,02120
2016-11-30T14:15:00-05:00,Man shot in the shoulder in Dorchester,Shooting,94 Ocean St.,02124
2016-11-29T18:00:00-05:00,Shots fired in Dorchester,Gunfire,Washington St. and St. Gregory St.,02124
2016-11-27T22:45:00-05:00,Shots fired in Hailey Apartments,Gunfire,50 Bickford St.,02130
2016-11-25T15:00:00-05:00,"Police: Guy fleeing cops in car hits one, then crashes on 93",Assault and battery with a dangerous weapon,Julian St.,02125
2016-11-23T00:30:00-05:00,"Police: Driver speeds away from Dorchester traffic stop, drags two officers, hits two others",Assault and battery with a dangerous weapon,7 Stoughton St.,02125
2016-11-22T23:50:00-05:00,Man shows up at Roxbury pharmacy with gunshot wound,Shooting,416 Warren St.,02119
2016-11-20T01:58:00-05:00,Drunken Bruins fan ruins birthday party,Assault and battery with a dangerous weapon,27 Columbus Ave.,02116
2016-11-19T22:40:00-05:00,Shots fired in Mattapan,Gunfire,50 Colorado St.,02126
2016-11-19T02:54:00-05:00,Man shot to death in Grove Hall,Murder,195 Normandy St.,02121
2016-11-18T17:39:00-05:00,Police: Two officers injured subduing Connecticut parole violator on Boston Common,Assault and battery,139 Tremont St.,02108
2016-11-18T15:15:00-05:00,Person stabbed inside Chinese take-out place on Tremont Street in Roxbury,Stabbing,1031 Tremont St.,02120
2016-11-18T14:12:00-05:00,Occupants of two SUVs fire guns at each other in Mattapan,Gunfire,Norfolk St. and Clarkwood St.,02126
2016-11-18T13:50:00-05:00,Man stabbed in Roxbury,Stabbing,3 Hilton Terr.,02119
2016-11-17T16:30:00-05:00,Man shot to death on West Cottage Street in Roxbury,Shooting,20 W. Cottage St.,02125
2016-11-16T17:40:00-05:00,Person stabbed near Egleston Square,Stabbing,18 Wardman Rd.,02119
2016-11-15T20:30:00-05:00,Domestic attack in Hyde Park leaves one in bad shape,Assault and battery,359 Huntington Ave.,02115
2016-11-14T23:40:00-05:00,"Man shot, houses hit in Uphams Corner",Shooting,11 Wendover St.,02125
2016-11-14T15:55:00-05:00,Man shot in Codman Square,Shooting,482 Washington St.,02124
2016-11-14T15:04:00-05:00,"Police investigate liquid attacks in Dudley, Codman squares",Assault and battery with a dangerous weapon,Washington St. and Dudley St.,02119
2015-03-01T22:30:00-05:00,Person shot in lower abdomen in Dorchester,Shooting,38 Wales St.,02124
2015-02-27T18:15:00-05:00,East Boston teen charged as gun-toting drug dealer,Illegal drug possession,38 Lamson St.,02128
2015-02-27T09:00:00-05:00,"Police: Raids, arrests in Dorchester, Mattapan bust up citywide drug ring",Illegal drug possession,108 Greenfield Rd.,02126
2015-02-27T00:30:00-05:00,"Confrontation with police in Dorchester ends with man shot, officer stabbed",Shooting,Howe Terrace,02125
2015-02-26T12:53:00-05:00,Police: Alert customer leads them to Dorchester bank robber,Bank robbery,494 Gallivan Blvd.,02124
2015-02-23T09:28:00-05:00,Man only robs banks on West Broadway between F and Dorchester streets,Bank robbery,470 W. Broadway,02127
2015-02-22T21:20:00-05:00,"Home invaded, car stolen in Dorchester",Armed home invasion,34 Franklin Hill Ave.,02124
2015-02-22T20:00:00-05:00,Police: JP residents followed armed robbers until one of them opened fire,Armed robbery,280 Hyde Park Ave.,02130
2015-02-21T16:00:00-05:00,Off-duty state trooper attacked on Boylston Street,Assault and battery,Boylston St. and Berkeley St.,02116
2015-02-18T22:03:00-05:00,FBI wants to wipe grin off man&#039;s face,Bank robbery,70 Summer St.,02110
2015-02-18T18:15:00-05:00,Police arrest man trying to jump out window in Charlestown,Illegal gun possession,129 Walford Way,02129
2015-02-17T10:30:00-05:00,Man with cane robs Downtown Crossing bank,Bank robbery,6 Ave. de Lafayette,02111
2015-02-12T18:45:00-05:00,Man stabbed at State Street entrance to Aquarium T stop,Stabbing,177 State St.,02109
2015-02-11T10:30:00-05:00,Man shot to death in Jamaica Plain; suspect fired on officer,Murder,891 Centre St.,02130
2015-02-10T20:30:00-05:00,"Man shot in Dorchester; cops find possible weapon, then follow fresh footprints in snow to another",Shooting,Normandy St. and Intervale St.,02121
2015-02-10T15:45:00-05:00,Man threatened with taser in Hyde Park sneaker holdup attempt; bystanders intervene,Attempted armed robbery,Greenwood Avenue,02136
2015-02-08T22:45:00-05:00,Armed robbery in Dorchester,Armed robbery,51 Lyon St,02122
2015-02-08T00:15:00-05:00,"Two stabbed in Charlestown, one in critical condition; third person robbed not long after",Stabbing,Medford St. and Monument St.,02129
2015-02-07T19:32:00-05:00,"Police: Mattapan shooting suspect opens fire as officers chase him, doesn&#039;t hit anybody",Shooting,1670 Blue Hill Ave.,02126
2015-02-04T19:40:00-05:00,Man shot in Roxbury,Shooting,368 Warren St.,02119
2015-02-04T11:49:00-05:00,Shots fired at Shawmut station,Gunfire,Dayton St.,02124
2015-02-04T02:52:00-05:00,"Man attacked, robbed of jacket and boots; police arrest two of four suspects",Armed robbery,9 Ditmus Ct.,02118
2015-02-01T13:45:00-05:00,Police flood Mission Main area in search of armed robbers with shotguns,Armed robbery,875 Huntington Ave.,02115
2015-01-30T19:00:00-05:00,Police: Knife-wielding teen arrested at South Station,Assault with a dangerous weapon,Essex St. and Atlantic Ave.,02110
2015-01-26T20:55:00-05:00,Man stabbed to death in Roxbury,Murder,8 Shetland St.,02119
2015-01-26T14:03:00-05:00,"Teens arrested for shooting up Forest Hills T station; two women hit, one in critical",Shooting,Washington St. and Asticou Rd.,02130
2015-01-24T22:20:00-05:00,"Police looking for driver who hit a man in Mattapan, then sped away",Hit and run,890 Morton St.,02126
2015-01-23T23:15:00-05:00,Gunfire erupts at Bromley-Heath; six shot,Shooting,954 Parker St.,02130
2015-01-22T19:30:00-05:00,Two shot in Roxbury,Shooting,Ziegler St. and Bethune St.,02119
2015-01-22T18:27:00-05:00,"Another armed robbery in Jamaica Plain, but this time, an arrest made",Armed robbery,300 Centre St.,02130
2015-01-22T16:00:00-05:00,Police: Three arrested on gun charges after one aimed both SUV and a gun at cops in chase along Gallivan Boulevard,Illegal gun possession,Adams St. and Granite Ave.,02124
2015-01-22T01:45:00-05:00,Man shot a couple blocks from fatal hospital shooting,Shooting,19 Fenwood Rd.,02115
