zip,value
75217,10862
75243,9270
75216,8856
75228,8796
75220,7911
75211,7386
75227,7052
75231,6216
75204,5805
75215,5458
75241,5199
75237,4942
75206,4871
75229,4727
75224,4409
75240,4229
75287,4038
75208,3987
75238,3638
75212,3567
75201,3503
75232,3475
75219,3289
75235,3165
75203,3129
75214,2788
75218,2427
75247,2341
75210,2248
75202,2178
75254,2079
75223,2044
75253,2031
75207,1968
75248,1909
75236,1867
75226,1833
75233,1754
75230,1656
75225,1647
75209,1619
75252,1372
75249,1046
75251,979
75244,960
75234,616
75205,531
75246,505
75051,86
75019,57
75116,53
75134,48
75088,28
75042,19
75149,13
75089,13
75150,12
75040,11
75043,9
75159,8
75080,8
75062,7
75052,6
75006,5
75001,4
75181,4
75115,4
75180,4
75081,3
75074,3
75007,2
75060,2
75126,2
75041,1
75032,1
75154,1
75048,1
75141,1
75137,1
75082,1
75050,1
75061,1
75087,1
76018,1
