zip,value
75228,354
75220,349
75217,344
75216,335
75243,322
75211,287
75227,264
75215,232
75229,221
75241,217
75237,215
75231,204
75204,170
75240,160
75238,159
75287,156
75208,153
75224,150
75206,144
75212,136
75235,129
75219,121
75232,119
75201,118
75203,110
75254,105
75248,103
75214,99
75210,92
75247,91
75236,85
75233,83
75226,83
75218,78
75223,74
75253,71
75202,69
75207,68
75230,63
75225,59
75252,57
75209,49
75249,48
75251,35
75205,26
75246,22
75234,22
75244,21
75116,4
75051,4
75081,2
75019,2
75088,1
75041,1
75006,1
