zip,value
75217,46.1879388477
75243,59.7408222936
75216,63.9468997895
75228,55.2959384532
75220,67.3175622449
75211,34.8617832827
75227,49.0650384343
75231,56.6771024506
75204,74.5842688078
75215,166.575641726
75241,73.1545111949
75237,102.917958014
75206,41.657470757
75229,49.7291818441
75224,50.5376975965
75240,60.5037866315
75287,32.4463309118
75208,55.682609128
75238,48.5516517403
75212,57.0647805819
75201,134.977149538
75232,36.2596750575
75219,36.6118242632
75235,73.9360773127
75203,81.4197570129
75214,29.4385432473
75218,44.3111008539
75247,1923.07692308
75210,98.9040363539
75202,558.223289316
75254,33.1140067948
75223,62.3790062379
75253,42.8184281843
75207,76.6998341625
75248,18.5656535409
75236,45.143896169
75226,250.998288648
75233,43.4380118208
75230,19.3064528106
75225,32.5483438637
75209,38.0868673552
75252,23.6396814864
75249,26.1721378898
75251,145.86014586
75244,28.6446555103
75234,5.9040077794
75205,9.53991587529
75246,72.202166065
75051,0.763650248186
75019,0.517250297419
75116,1.01682851187
75134,0.493193923851
75149,0.178364398466
75062,0.224532411254
