zip,value
75217,422.115384615
75243,1037.88888889
75216,694.538461538
75228,746.666666667
75220,622.769230769
75211,441.0
75227,595.0
75231,1255.4
75204,1944.66666667
75215,618.888888889
75241,189.321428571
75237,718.142857143
75206,1229.0
75229,402.416666667
75224,743.666666667
75240,1072.5
75287,684.333333333
75208,670.333333333
75238,532.285714286
75212,302.0
75201,3551.0
75232,437.875
75219,1665.5
75235,463.142857143
75203,793.0
75214,353.5
75218,305.375
75247,395.833333333
75210,458.2
75202,2199.0
75254,712.0
75223,691.666666667
75253,121.705882353
75207,401.0
75248,246.375
75236,158.666666667
75226,1880.0
75233,450.75
75230,238.428571429
75225,331.6
75209,407.25
75252,281.6
75249,179.5
75251,1000.0
75244,193.8
75234,56.5454545455
75205,137.75
75246,inf
75051,5.8
75019,3.27777777778
75116,11.2
75134,4.0
75088,2.0
75042,1.75
75149,0.764705882353
75089,0.692307692308
75150,0.75
75040,0.5
75043,0.473684210526
75159,0.107692307692
75080,0.8
75062,0.545454545455
75052,0.222222222222
75006,0.235294117647
75001,1.0
75181,0.111111111111
75115,0.0454545454545
75180,0.5
75081,0.444444444444
75074,0.1875
75007,0.166666666667
75060,0.166666666667
75126,0.0243902439024
75041,0.125
75032,0.0153846153846
75154,0.0217391304348
75048,0.125
75141,0.0909090909091
75137,0.166666666667
75082,0.125
75050,0.0384615384615
75061,0.0833333333333
75087,0.0238095238095
76018,0.125
