zip,population,sqmiles
75001,12414.0,3.90855
75006,46364.0,17.46139
75007,51624.0,11.48636
75019,38666.0,18.2068
75024,36039.0,11.70812
75032,27986.0,68.19104
75040,59406.0,15.44133
75041,30700.0,7.81958
75042,37881.0,7.56987
75043,58094.0,19.05928
75048,20328.0,8.9766
75050,41041.0,27.86014
75051,39285.0,15.20252
75052,88996.0,26.45205
75060,45980.0,11.18308
75062,44537.0,11.18406
75074,44622.0,16.2094
75075,33262.0,10.58109
75080,44009.0,10.11808
75081,34156.0,9.3341
75082,21182.0,8.38469
75087,28145.0,41.45298
75088,24712.0,12.52185
75089,30251.0,12.28356
75115,48877.0,23.3899
75116,19669.0,5.1496
75126,33396.0,82.25636
75134,20276.0,12.08846
75137,18861.0,6.11583
75141,5374.0,10.67792
75149,56065.0,16.63918
75150,58730.0,12.11471
75154,36041.0,47.79215
75159,18339.0,64.28555
75180,23031.0,7.87849
75181,25908.0,17.26886
75182,5118.0,19.81323
75201,9409.0,1.31839
75202,1666.0,0.64974
75203,15721.0,4.27927
75204,26279.0,2.66747
75205,23061.0,4.3635
75206,36248.0,4.29038
75207,9648.0,4.70287
75208,30171.0,5.95109
75209,13653.0,3.64535
75210,7482.0,2.39841
75211,73146.0,17.02421
75212,24884.0,10.76064
75214,32950.0,8.30468
75215,14648.0,9.4361
75216,49416.0,12.66218
75217,80324.0,26.98381
75218,21665.0,7.61384
75219,22124.0,2.18948
75220,41891.0,12.57887
75223,13947.0,3.32893
75224,34034.0,5.61275
75225,20892.0,4.75514
75226,3506.0,1.0824
75227,55029.0,11.52996
75228,66551.0,11.82984
75229,31571.0,11.96749
75230,26934.0,7.2262
75231,37052.0,5.4868
75232,28682.0,8.36173
75233,14043.0,3.73541
75234,28794.0,10.54613
75235,17177.0,6.89456
75236,15949.0,12.04632
75237,17101.0,6.54667
75238,30483.0,6.78645
75240,24296.0,3.93872
75241,27066.0,29.41088
75243,55406.0,8.65612
75244,13266.0,4.54621
75246,2770.0,0.45253
75247,468.0,5.99225
75248,33395.0,7.54717
75249,13373.0,5.01339
75251,2331.0,0.70764
75252,24112.0,5.46841
75253,18450.0,16.83501
75254,23253.0,2.97667
75287,49004.0,5.60549
76018,26938.0,7.68562
