zip,sqmiles,value
11207,2.672,13746
11101,2.604,13533
10016,0.532,11186
11201,1.407,10547
10019,0.688,10623
10022,0.427,10346
10314,13.7,10183
10036,0.439,9858
10013,0.55,9665
10001,0.615,9485
11203,2.145,9332
11385,3.615,9252
11234,7.41,8934
11208,3.577,8533
11236,3.599,8589
11434,3.268,8566
11226,1.289,8316
10002,0.879,8170
11220,1.745,7935
10467,2.337,7614
11235,2.244,7441
11233,1.349,7333
11355,1.735,7342
11212,1.539,7323
11206,1.434,7258
11354,2.178,7329
11377,2.537,7263
10018,0.323,7148
11213,1.09,7107
11211,2.312,7170
11230,1.84,7151
11368,2.63,6961
11373,1.522,6932
10017,0.317,6709
11432,2.149,6684
10306,7.475,6629
10011,0.662,6588
10003,0.576,6573
11215,2.177,6410
11217,0.75,6436
10029,0.812,6335
10461,2.393,6296
11216,0.935,6177
11218,1.428,6277
10458,1.005,6234
11238,1.107,6133
10457,1.059,6131
11221,1.383,6021
11375,1.989,6031
11210,1.642,6087
11223,2.074,6004
10035,1.424,6112
11214,2.169,5945
10472,1.054,5984
10065,0.38,5754
10466,2.012,5840
11229,2.158,5730
10451,1.029,5780
11222,1.535,5743
11372,0.741,5625
11435,1.529,5617
10027,0.869,5577
10469,2.473,5574
11420,2.077,5603
11219,1.482,5523
10468,1.071,5475
11204,1.589,5396
10462,1.475,5419
11205,0.945,5255
10454,1.048,5358
11422,2.004,5171
11413,3.104,5172
11419,1.119,5133
10463,1.45,5024
10305,4.125,4962
10010,0.382,4918
10460,1.312,4966
10025,0.752,4989
10304,3.876,4971
11225,0.884,4813
10023,0.49,4782
10312,7.681,4848
11378,2.577,4838
11209,2.12,4826
10012,0.323,4719
10453,0.916,4740
10014,0.55,4617
10456,1.018,4531
11418,1.633,4545
10301,3.607,4523
10452,0.988,4339
11374,0.943,4393
10459,0.82,4267
10128,0.466,4190
11232,1.191,4127
10024,0.858,4194
11237,0.984,4111
11417,1.119,4047
10021,0.381,4000
11361,1.766,4065
11433,1.552,3954
11231,1.422,4042
11367,2.356,3976
10032,0.655,4014
10033,0.596,3938
11691,2.753,3953
11358,1.949,3744
11102,0.789,3734
10009,0.617,3579
11412,1.647,3558
10465,3.39,3526
10455,0.713,3508
11357,2.811,3410
10473,2.139,3385
11365,2.498,3230
11421,1.29,3210
10034,1.09,3260
11224,1.586,3204
11106,0.855,3179
11369,1.09,3227
11379,2.075,3183
11228,1.472,3150
10475,1.731,3177
10031,0.649,3001
11423,1.413,3035
10028,0.313,2924
11103,0.711,2818
11416,0.662,2764
10309,6.716,2811
10303,3.144,2783
11364,2.468,2711
11370,1.49,2561
10310,1.795,2511
11414,2.312,2535
10007,0.159,2481
11105,1.682,2448
11429,1.294,2420
10474,1.529,2451
10037,0.257,2379
11356,1.577,2347
10030,0.279,2166
10302,1.189,2199
10026,0.332,2150
10075,0.184,2077
10038,0.3,2076
11415,0.566,2000
10470,1.43,1997
11428,0.832,2021
11411,1.168,1995
10040,0.382,2015
10308,1.969,1950
11362,2.531,1956
11427,1.581,1923
11436,0.793,1830
11004,0.95,1705
11104,0.388,1664
11426,1.349,1694
11366,1.093,1671
10471,2.57,1508
10004,0.545,1449
10039,0.437,1433
11239,0.617,1381
11694,1.336,1243
11363,0.86,1125
11693,0.986,1097
11692,1.002,991
11360,1.393,962
10006,0.092,934
10005,0.073,825
10464,3.471,766
10307,1.963,719
10020,0.028,512
11001,2.23,301
11697,2.595,240
10280,0.116,234
11040,4.786,219
10044,0.23,216
10069,0.0,163
10119,0.0,155
11005,0.183,91
11430,6.999,89
11109,0.0,81
10282,0.0,71
11359,0.25,25
10279,0.0,55
10111,0.0,19
10803,2.188,4
10153,0.0,4
10103,0.0,1
11251,0.0,1
00083,0.0,0
11371,1.095,0
