zip,sqmiles,value
11207,2.672,727.54
11101,2.604,748.46
10016,0.532,3238.72
11201,1.407,1159.2
10019,0.688,2552.33
10022,0.427,3634.66
10314,13.7,145.47
10036,0.439,3496.58
10013,0.55,2918.18
10001,0.615,2305.69
11203,2.145,693.71
11385,3.615,391.42
11234,7.41,209.45
11208,3.577,380.77
11236,3.599,375.1
11434,3.268,463.89
11226,1.289,1105.51
10002,0.879,1576.79
11220,1.745,539.26
10467,2.337,495.93
11235,2.244,537.88
11233,1.349,790.96
11355,1.735,685.88
11212,1.539,768.68
11206,1.434,696.65
11354,2.178,565.2
11377,2.537,388.25
10018,0.323,3396.28
11213,1.09,857.8
11211,2.312,459.78
11230,1.84,607.07
11368,2.63,458.17
11373,1.522,743.1
10017,0.317,3214.51
11432,2.149,487.67
10306,7.475,142.74
10011,0.662,1589.12
10003,0.576,1670.14
11215,2.177,364.26
11217,0.75,1245.33
10029,0.812,1243.84
10461,2.393,426.66
11216,0.935,817.11
11218,1.428,654.06
10458,1.005,976.12
11238,1.107,775.07
10457,1.059,949.95
11221,1.383,652.21
11375,1.989,429.86
11210,1.642,654.69
11223,2.074,436.35
10035,1.424,1066.01
11214,2.169,423.7
10472,1.054,1050.28
10065,0.38,1631.58
10466,2.012,500.99
11229,2.158,383.23
10451,1.029,1009.72
11222,1.535,611.73
11372,0.741,1024.29
11435,1.529,606.93
10027,0.869,1088.61
10469,2.473,367.17
11420,2.077,543.09
11219,1.482,531.04
10468,1.071,810.46
11204,1.589,424.8
10462,1.475,625.76
11205,0.945,735.45
10454,1.048,1136.45
11422,2.004,399.7
11413,3.104,281.25
11419,1.119,765.86
10463,1.45,582.07
10305,4.125,166.55
10010,0.382,1767.02
10460,1.312,605.18
10025,0.752,1085.11
10304,3.876,212.07
11225,0.884,606.33
10023,0.49,1183.67
10312,7.681,104.8
11378,2.577,307.72
11209,2.12,373.58
10012,0.323,1922.6
10453,0.916,961.79
10014,0.55,1130.91
10456,1.018,658.15
11418,1.633,446.42
10301,3.607,184.92
10452,0.988,652.83
11374,0.943,800.64
10459,0.82,848.78
10128,0.466,1208.15
11232,1.191,306.47
10024,0.858,729.6
11237,0.984,636.18
11417,1.119,642.54
10021,0.381,1477.69
11361,1.766,395.81
11433,1.552,362.11
11231,1.422,502.81
11367,2.356,255.94
10032,0.655,1225.95
10033,0.596,1295.3
11691,2.753,298.58
11358,1.949,261.67
11102,0.789,726.24
10009,0.617,755.27
11412,1.647,343.05
10465,3.39,189.38
10455,0.713,913.04
11357,2.811,214.16
10473,2.139,293.6
11365,2.498,194.56
11421,1.29,379.84
10034,1.09,562.39
11224,1.586,384.62
11106,0.855,518.13
11369,1.09,506.42
11379,2.075,209.16
11228,1.472,341.03
10475,1.731,322.36
10031,0.649,570.11
11423,1.413,383.58
10028,0.313,1469.65
11103,0.711,490.86
11416,0.662,590.63
10309,6.716,81.89
10303,3.144,183.84
11364,2.468,166.94
11370,1.49,269.8
10310,1.795,191.09
11414,2.312,191.61
10007,0.159,2276.73
11105,1.682,232.46
11429,1.294,339.26
10474,1.529,383.26
10037,0.257,2007.78
11356,1.577,265.06
10030,0.279,1254.48
10302,1.189,340.62
10026,0.332,1033.13
10075,0.184,1135.87
10038,0.3,1206.67
11415,0.566,526.5
10470,1.43,197.2
11428,0.832,375.0
11411,1.168,282.53
10040,0.382,1057.59
10308,1.969,145.25
11362,2.531,148.56
11427,1.581,190.39
11436,0.793,413.62
11004,0.95,274.74
11104,0.388,489.69
11426,1.349,217.2
11366,1.093,249.77
10471,2.57,123.35
10004,0.545,405.5
10039,0.437,656.75
11239,0.617,403.57
11694,1.336,162.43
11363,0.86,237.21
11693,0.986,224.14
11692,1.002,193.61
11360,1.393,104.09
10464,3.471,39.47
10307,1.963,70.81
11001,2.23,27.35
11697,2.595,23.51
10280,0.116,543.1
11040,4.786,8.57
10044,0.23,530.43
11005,0.183,76.5
11430,6.999,2.43
11359,0.25,36.0
10803,2.188,0.91
00083,0.0,N/A
11371,1.095,N/A
