zip,sqmiles,value
11207,2.672,13
11101,2.604,7
10016,0.532,6
11201,1.407,9
10019,0.688,4
10022,0.427,6
10314,13.7,4
10036,0.439,8
10013,0.55,8
10001,0.615,5
11203,2.145,15
11385,3.615,5
11234,7.41,N/A
11208,3.577,11
11236,3.599,9
11434,3.268,4
11226,1.289,14
10002,0.879,10
11220,1.745,9
10467,2.337,7
11235,2.244,6
11233,1.349,5
11355,1.735,5
11212,1.539,7
11206,1.434,7
11354,2.178,8
11377,2.537,6
10018,0.323,5
11213,1.09,4
11211,2.312,8
11230,1.84,8
11368,2.63,11
11373,1.522,4
10017,0.317,2
11432,2.149,3
10306,7.475,8
10011,0.662,4
10003,0.576,6
11215,2.177,5
11217,0.75,6
10029,0.812,7
10461,2.393,5
11216,0.935,7
11218,1.428,13
10458,1.005,5
11238,1.107,3
10457,1.059,4
11221,1.383,4
11375,1.989,3
11210,1.642,2
11223,2.074,3
10035,1.424,5
11214,2.169,2
10472,1.054,2
10065,0.38,1
10466,2.012,4
11229,2.158,8
10451,1.029,6
11222,1.535,4
11372,0.741,6
11435,1.529,5
10027,0.869,1
10469,2.473,2
11420,2.077,5
11219,1.482,8
10468,1.071,5
11204,1.589,2
10462,1.475,6
11205,0.945,4
10454,1.048,3
11422,2.004,1
11413,3.104,1
11419,1.119,3
10463,1.45,3
10305,4.125,7
10010,0.382,1
10460,1.312,6
10025,0.752,4
10304,3.876,3
11225,0.884,5
10023,0.49,4
10312,7.681,1
11378,2.577,2
11209,2.12,6
10012,0.323,4
10453,0.916,4
10014,0.55,1
10456,1.018,4
11418,1.633,2
10301,3.607,2
10452,0.988,3
11374,0.943,3
10459,0.82,2
10128,0.466,3
11232,1.191,3
10024,0.858,2
11237,0.984,1
11417,1.119,2
10021,0.381,1
11361,1.766,3
11433,1.552,3
11231,1.422,4
11367,2.356,5
10032,0.655,2
10033,0.596,N/A
11691,2.753,7
11358,1.949,2
11102,0.789,1
10009,0.617,1
11412,1.647,3
10465,3.39,2
10455,0.713,4
11357,2.811,2
10473,2.139,5
11365,2.498,1
11421,1.29,N/A
10034,1.09,2
11224,1.586,1
11106,0.855,1
11369,1.09,6
11379,2.075,4
11228,1.472,2
10475,1.731,6
10031,0.649,2
11423,1.413,7
10028,0.313,2
11103,0.711,N/A
11416,0.662,2
10309,6.716,N/A
10303,3.144,N/A
11364,2.468,N/A
11370,1.49,3
10310,1.795,N/A
11414,2.312,3
10007,0.159,N/A
11105,1.682,4
11429,1.294,3
10474,1.529,3
10037,0.257,N/A
11356,1.577,2
10030,0.279,1
10302,1.189,N/A
10026,0.332,1
10075,0.184,1
10038,0.3,2
11415,0.566,2
10470,1.43,N/A
11428,0.832,4
11411,1.168,3
10040,0.382,N/A
10308,1.969,3
11362,2.531,N/A
11427,1.581,N/A
11436,0.793,1
11004,0.95,5
11104,0.388,2
11426,1.349,1
11366,1.093,3
10471,2.57,N/A
10004,0.545,1
10039,0.437,3
11239,0.617,3
11694,1.336,1
11363,0.86,N/A
11693,0.986,2
11692,1.002,1
11360,1.393,1
10464,3.471,N/A
10307,1.963,1
11001,2.23,N/A
11697,2.595,N/A
10280,0.116,N/A
11040,4.786,N/A
10044,0.23,N/A
11005,0.183,1
11430,6.999,N/A
11359,0.25,N/A
10803,2.188,N/A
00083,0.0,N/A
11371,1.095,N/A
