zip,sqmiles
11207,2.672
11101,2.604
10016,0.532
11201,1.407
10019,0.688
10022,0.427
10314,13.7
10036,0.439
10013,0.55
10001,0.615
11203,2.145
11385,3.615
11234,7.41
11208,3.577
11236,3.599
11434,3.268
11226,1.289
10002,0.879
11220,1.745
10467,2.337
11235,2.244
11233,1.349
11355,1.735
11212,1.539
11206,1.434
11354,2.178
11377,2.537
10018,0.323
11213,1.09
11211,2.312
11230,1.84
11368,2.63
11373,1.522
10017,0.317
11432,2.149
10306,7.475
10011,0.662
10003,0.576
11215,2.177
11217,0.75
10029,0.812
10461,2.393
11216,0.935
11218,1.428
10458,1.005
11238,1.107
10457,1.059
11221,1.383
11375,1.989
11210,1.642
11223,2.074
10035,1.424
11214,2.169
10472,1.054
10065,0.38
10466,2.012
11229,2.158
10451,1.029
11222,1.535
11372,0.741
11435,1.529
10027,0.869
10469,2.473
11420,2.077
11219,1.482
10468,1.071
11204,1.589
10462,1.475
11205,0.945
10454,1.048
11422,2.004
11413,3.104
11419,1.119
10463,1.45
10305,4.125
10010,0.382
10460,1.312
10025,0.752
10304,3.876
11225,0.884
10023,0.49
10312,7.681
11378,2.577
11209,2.12
10012,0.323
10453,0.916
10014,0.55
10456,1.018
11418,1.633
10301,3.607
10452,0.988
11374,0.943
10459,0.82
10128,0.466
11232,1.191
10024,0.858
11237,0.984
11417,1.119
10021,0.381
11361,1.766
11433,1.552
11231,1.422
11367,2.356
10032,0.655
10033,0.596
11691,2.753
11358,1.949
11102,0.789
10009,0.617
11412,1.647
10465,3.39
10455,0.713
11357,2.811
10473,2.139
11365,2.498
11421,1.29
10034,1.09
11224,1.586
11106,0.855
11369,1.09
11379,2.075
11228,1.472
10475,1.731
10031,0.649
11423,1.413
10028,0.313
11103,0.711
11416,0.662
10309,6.716
10303,3.144
11364,2.468
11370,1.49
10310,1.795
11414,2.312
10007,0.159
11105,1.682
11429,1.294
10474,1.529
10037,0.257
11356,1.577
10030,0.279
10302,1.189
10026,0.332
10075,0.184
10038,0.3
11415,0.566
10470,1.43
11428,0.832
11411,1.168
10040,0.382
10308,1.969
11362,2.531
11427,1.581
11436,0.793
11004,0.95
11104,0.388
11426,1.349
11366,1.093
10471,2.57
10004,0.545
10039,0.437
11239,0.617
11694,1.336
11363,0.86
11693,0.986
11692,1.002
11360,1.393
10006,0.092
10005,0.073
10464,3.471
10307,1.963
10020,0.028
11001,2.23
11697,2.595
10280,0.116
11040,4.786
10044,0.23
10069,0
10119,0
11005,0.183
11430,6.999
11109,0
10282,0
11359,0.25
10279,0
10111,0
10803,2.188
10153,0
10103,0
11251,0
83,0
11371,1.095
