zip,sqmiles,value
11207,2.672,3.74
11101,2.604,3.84
10016,0.532,13.16
11201,1.407,5.69
10019,0.688,18.9
10022,0.427,14.05
10314,13.7,N/A
10036,0.439,13.67
10013,0.55,10.91
10001,0.615,16.26
11203,2.145,5.59
11385,3.615,4.15
11234,7.41,0.94
11208,3.577,2.52
11236,3.599,4.45
11434,3.268,3.37
11226,1.289,6.21
10002,0.879,12.51
11220,1.745,6.3
10467,2.337,1.71
11235,2.244,2.67
11233,1.349,3.71
11355,1.735,4.61
11212,1.539,5.2
11206,1.434,4.88
11354,2.178,2.3
11377,2.537,1.58
10018,0.323,34.06
11213,1.09,4.59
11211,2.312,4.76
11230,1.84,8.7
11368,2.63,1.9
11373,1.522,1.97
10017,0.317,N/A
11432,2.149,2.33
10306,7.475,1.2
10011,0.662,9.06
10003,0.576,8.68
11215,2.177,3.67
11217,0.75,4.0
10029,0.812,2.46
10461,2.393,1.25
11216,0.935,5.35
11218,1.428,4.9
10458,1.005,4.98
11238,1.107,2.71
10457,1.059,N/A
11221,1.383,6.51
11375,1.989,2.01
11210,1.642,8.53
11223,2.074,4.34
10035,1.424,0.7
11214,2.169,2.31
10472,1.054,0.95
10065,0.38,15.79
10466,2.012,N/A
11229,2.158,1.39
10451,1.029,3.89
11222,1.535,2.61
11372,0.741,8.1
11435,1.529,1.96
10027,0.869,5.75
10469,2.473,1.21
11420,2.077,1.93
11219,1.482,6.75
10468,1.071,3.73
11204,1.589,2.52
10462,1.475,5.42
11205,0.945,5.29
10454,1.048,4.77
11422,2.004,2.99
11413,3.104,0.97
11419,1.119,0.89
10463,1.45,2.76
10305,4.125,1.21
10010,0.382,N/A
10460,1.312,3.81
10025,0.752,1.33
10304,3.876,0.26
11225,0.884,2.26
10023,0.49,4.08
10312,7.681,0.26
11378,2.577,0.39
11209,2.12,0.94
10012,0.323,6.19
10453,0.916,6.55
10014,0.55,5.45
10456,1.018,2.95
11418,1.633,1.84
10301,3.607,0.55
10452,0.988,4.05
11374,0.943,6.36
10459,0.82,8.54
10128,0.466,6.44
11232,1.191,0.84
10024,0.858,2.33
11237,0.984,6.1
11417,1.119,6.26
10021,0.381,N/A
11361,1.766,0.57
11433,1.552,2.58
11231,1.422,0.7
11367,2.356,1.27
10032,0.655,4.58
10033,0.596,6.71
11691,2.753,1.09
11358,1.949,2.57
11102,0.789,1.27
10009,0.617,3.24
11412,1.647,2.43
10465,3.39,1.77
10455,0.713,9.82
11357,2.811,0.36
10473,2.139,1.87
11365,2.498,1.6
11421,1.29,2.33
10034,1.09,2.75
11224,1.586,N/A
11106,0.855,4.68
11369,1.09,1.83
11379,2.075,0.48
11228,1.472,3.4
10475,1.731,1.73
10031,0.649,4.62
11423,1.413,1.42
10028,0.313,3.19
11103,0.711,1.41
11416,0.662,3.02
10309,6.716,0.3
10303,3.144,N/A
11364,2.468,0.41
11370,1.49,2.68
10310,1.795,N/A
11414,2.312,1.3
10007,0.159,6.29
11105,1.682,1.78
11429,1.294,1.55
10474,1.529,N/A
10037,0.257,3.89
11356,1.577,1.27
10030,0.279,14.34
10302,1.189,N/A
10026,0.332,12.05
10075,0.184,10.87
10038,0.3,13.33
11415,0.566,N/A
10470,1.43,N/A
11428,0.832,4.81
11411,1.168,N/A
10040,0.382,2.62
10308,1.969,N/A
11362,2.531,N/A
11427,1.581,1.27
11436,0.793,3.78
11004,0.95,3.16
11104,0.388,N/A
11426,1.349,0.74
11366,1.093,0.91
10471,2.57,0.39
10004,0.545,N/A
10039,0.437,2.29
11239,0.617,3.24
11694,1.336,1.5
11363,0.86,N/A
11693,0.986,N/A
11692,1.002,1.0
11360,1.393,0.72
10006,0.092,N/A
10005,0.073,N/A
10464,3.471,N/A
10307,1.963,N/A
10020,0.028,N/A
11001,2.23,N/A
11697,2.595,N/A
10280,0.116,N/A
11040,4.786,N/A
10044,0.23,N/A
10069,0.0,N/A
10119,0.0,N/A
11005,0.183,N/A
11430,6.999,N/A
11109,0.0,N/A
10282,0.0,N/A
11359,0.25,N/A
10279,0.0,N/A
10111,0.0,N/A
10803,2.188,N/A
10153,0.0,N/A
10103,0.0,N/A
11251,0.0,N/A
00083,0.0,N/A
11371,1.095,N/A
