zip,sqmiles,value
11207,2.672,151
11101,2.604,127
10016,0.532,108
11201,1.407,103
10019,0.688,147
10022,0.427,106
10314,13.7,146
10036,0.439,125
10013,0.55,100
10001,0.615,158
11203,2.145,130
11385,3.615,129
11234,7.41,134
11208,3.577,101
11236,3.599,147
11434,3.268,105
11226,1.289,138
10002,0.879,114
11220,1.745,81
10467,2.337,96
11235,2.244,81
11233,1.349,80
11355,1.735,89
11212,1.539,110
11206,1.434,92
11354,2.178,102
11377,2.537,87
10018,0.323,83
11213,1.09,78
11211,2.312,106
11230,1.84,92
11368,2.63,93
11373,1.522,96
10017,0.317,59
11432,2.149,73
10306,7.475,73
10011,0.662,98
10003,0.576,74
11215,2.177,69
11217,0.75,101
10029,0.812,54
10461,2.393,69
11216,0.935,62
11218,1.428,79
10458,1.005,90
11238,1.107,49
10457,1.059,71
11221,1.383,84
11375,1.989,46
11210,1.642,84
11223,2.074,74
10035,1.424,66
11214,2.169,76
10472,1.054,62
10065,0.38,59
10466,2.012,89
11229,2.158,75
10451,1.029,77
11222,1.535,71
11372,0.741,73
11435,1.529,73
10027,0.869,68
10469,2.473,73
11420,2.077,66
11219,1.482,77
10468,1.071,60
11204,1.589,52
10462,1.475,81
11205,0.945,59
10454,1.048,66
11422,2.004,71
11413,3.104,70
11419,1.119,46
10463,1.45,77
10305,4.125,72
10010,0.382,52
10460,1.312,85
10025,0.752,58
10304,3.876,73
11225,0.884,62
10023,0.49,49
10312,7.681,51
11378,2.577,54
11209,2.12,65
10012,0.323,76
10453,0.916,68
10014,0.55,46
10456,1.018,56
11418,1.633,30
10301,3.607,58
10452,0.988,40
11374,0.943,32
10459,0.82,58
10128,0.466,30
11232,1.191,40
10024,0.858,44
11237,0.984,70
11417,1.119,42
10021,0.381,25
11361,1.766,40
11433,1.552,44
11231,1.422,40
11367,2.356,43
10032,0.655,44
10033,0.596,51
11691,2.753,46
11358,1.949,46
11102,0.789,24
10009,0.617,33
11412,1.647,38
10465,3.39,52
10455,0.713,54
11357,2.811,41
10473,2.139,51
11365,2.498,34
11421,1.29,35
10034,1.09,49
11224,1.586,52
11106,0.855,28
11369,1.09,46
11379,2.075,31
11228,1.472,41
10475,1.731,44
10031,0.649,26
11423,1.413,31
10028,0.313,16
11103,0.711,34
11416,0.662,32
10309,6.716,31
10303,3.144,52
11364,2.468,24
11370,1.49,40
10310,1.795,42
11414,2.312,25
10007,0.159,34
11105,1.682,22
11429,1.294,40
10474,1.529,41
10037,0.257,26
11356,1.577,27
10030,0.279,32
10302,1.189,25
10026,0.332,26
10075,0.184,32
10038,0.3,21
11415,0.566,18
10470,1.43,27
11428,0.832,29
11411,1.168,21
10040,0.382,25
10308,1.969,27
11362,2.531,24
11427,1.581,32
11436,0.793,24
11004,0.95,26
11104,0.388,24
11426,1.349,28
11366,1.093,30
10471,2.57,17
10004,0.545,13
10039,0.437,18
11239,0.617,20
11694,1.336,9
11363,0.86,8
11693,0.986,6
11692,1.002,11
11360,1.393,12
10464,3.471,8
10307,1.963,12
11001,2.23,7
11697,2.595,3
10280,0.116,2
11040,4.786,3
10044,0.23,7
11005,0.183,3
11430,6.999,3
11359,0.25,0
10803,2.188,0
00083,0.0,0
11371,1.095,0
