zip,sqmiles,value
11207,2.672,45.28
11101,2.604,35.33
10016,0.532,159.77
11201,1.407,49.75
10019,0.688,120.64
10022,0.427,152.22
10314,13.7,11.39
10036,0.439,152.62
10013,0.55,145.45
10001,0.615,92.68
11203,2.145,28.9
11385,3.615,21.02
11234,7.41,9.58
11208,3.577,19.29
11236,3.599,26.67
11434,3.268,20.5
11226,1.289,53.53
10002,0.879,95.56
11220,1.745,21.2
10467,2.337,33.38
11235,2.244,26.74
11233,1.349,40.03
11355,1.735,38.62
11212,1.539,50.03
11206,1.434,37.66
11354,2.178,31.22
11377,2.537,20.89
10018,0.323,142.41
11213,1.09,33.03
11211,2.312,30.71
11230,1.84,40.76
11368,2.63,17.49
11373,1.522,42.05
10017,0.317,176.66
11432,2.149,22.8
10306,7.475,7.22
10011,0.662,114.8
10003,0.576,88.54
11215,2.177,23.43
11217,0.75,82.67
10029,0.812,50.49
10461,2.393,18.39
11216,0.935,55.61
11218,1.428,35.71
10458,1.005,49.75
11238,1.107,28.91
10457,1.059,71.77
11221,1.383,36.88
11375,1.989,25.14
11210,1.642,40.19
11223,2.074,26.52
10035,1.424,57.58
11214,2.169,20.75
10472,1.054,80.65
10065,0.38,94.74
10466,2.012,23.36
11229,2.158,26.88
10451,1.029,57.34
11222,1.535,28.66
11372,0.741,55.33
11435,1.529,28.12
10027,0.869,51.78
10469,2.473,21.03
11420,2.077,22.63
11219,1.482,41.16
10468,1.071,43.88
11204,1.589,25.8
10462,1.475,34.58
11205,0.945,38.1
10454,1.048,85.88
11422,2.004,24.45
11413,3.104,12.56
11419,1.119,34.85
10463,1.45,32.41
10305,4.125,14.3
10010,0.382,109.95
10460,1.312,35.06
10025,0.752,62.5
10304,3.876,16.77
11225,0.884,33.94
10023,0.49,69.39
10312,7.681,7.03
11378,2.577,18.24
11209,2.12,22.64
10012,0.323,92.88
10453,0.916,51.31
10014,0.55,45.45
10456,1.018,42.24
11418,1.633,20.82
10301,3.607,14.42
10452,0.988,36.44
11374,0.943,74.23
10459,0.82,57.32
10128,0.466,66.52
11232,1.191,28.55
10024,0.858,44.29
11237,0.984,41.67
11417,1.119,33.07
10021,0.381,78.74
11361,1.766,35.11
11433,1.552,13.53
11231,1.422,33.05
11367,2.356,12.73
10032,0.655,68.7
10033,0.596,62.08
11691,2.753,12.35
11358,1.949,14.88
11102,0.789,44.36
10009,0.617,40.52
11412,1.647,15.79
10465,3.39,10.62
10455,0.713,50.49
11357,2.811,10.67
10473,2.139,14.49
11365,2.498,11.61
11421,1.29,13.95
10034,1.09,36.7
11224,1.586,13.87
11106,0.855,28.07
11369,1.09,32.11
11379,2.075,17.35
11228,1.472,19.7
10475,1.731,13.86
10031,0.649,21.57
11423,1.413,19.11
10028,0.313,70.29
11103,0.711,25.32
11416,0.662,33.23
10309,6.716,4.17
10303,3.144,13.36
11364,2.468,6.48
11370,1.49,22.15
10310,1.795,6.69
11414,2.312,9.95
10007,0.159,201.26
11105,1.682,20.21
11429,1.294,20.87
10474,1.529,26.16
10037,0.257,124.51
11356,1.577,15.85
10030,0.279,60.93
10302,1.189,14.3
10026,0.332,63.25
10075,0.184,54.35
10038,0.3,50.0
11415,0.566,24.73
10470,1.43,9.79
11428,0.832,19.23
11411,1.168,17.12
10040,0.382,86.39
10308,1.969,6.09
11362,2.531,6.32
11427,1.581,16.45
11436,0.793,16.39
11004,0.95,17.89
11104,0.388,30.93
11426,1.349,8.9
11366,1.093,17.38
10471,2.57,4.67
10004,0.545,25.69
10039,0.437,34.32
11239,0.617,16.21
11694,1.336,8.23
11363,0.86,6.98
11693,0.986,21.3
11692,1.002,7.98
11360,1.393,6.46
10006,0.092,43.48
10005,0.073,27.4
10464,3.471,2.59
10307,1.963,3.06
10020,0.028,35.71
11001,2.23,2.24
11697,2.595,1.93
10280,0.116,51.72
11040,4.786,0.84
10044,0.23,52.17
10069,0.0,N/A
10119,0.0,N/A
11005,0.183,N/A
11430,6.999,0.29
11109,0.0,N/A
10282,0.0,N/A
11359,0.25,8.0
10279,0.0,N/A
10111,0.0,N/A
10803,2.188,N/A
10153,0.0,N/A
10103,0.0,N/A
11251,0.0,N/A
00083,0.0,N/A
11371,1.095,N/A
