zip,sqmiles,value
11207,2.672,10
11101,2.604,13
10016,0.532,13
11201,1.407,8
10019,0.688,10
10022,0.427,7
10314,13.7,1
10036,0.439,N/A
10013,0.55,6
10001,0.615,5
11203,2.145,9
11385,3.615,5
11234,7.41,6
11208,3.577,9
11236,3.599,7
11434,3.268,4
11226,1.289,4
10002,0.879,4
11220,1.745,2
10467,2.337,7
11235,2.244,10
11233,1.349,3
11355,1.735,9
11212,1.539,13
11206,1.434,3
11354,2.178,2
11377,2.537,4
10018,0.323,3
11213,1.09,3
11211,2.312,5
11230,1.84,11
11368,2.63,3
11373,1.522,5
10017,0.317,3
11432,2.149,7
10306,7.475,7
10011,0.662,4
10003,0.576,2
11215,2.177,10
11217,0.75,4
10029,0.812,6
10461,2.393,N/A
11216,0.935,N/A
11218,1.428,10
10458,1.005,8
11238,1.107,1
10457,1.059,4
11221,1.383,5
11375,1.989,7
11210,1.642,6
11223,2.074,4
10035,1.424,4
11214,2.169,5
10472,1.054,N/A
10065,0.38,6
10466,2.012,9
11229,2.158,8
10451,1.029,5
11222,1.535,4
11372,0.741,6
11435,1.529,4
10027,0.869,N/A
10469,2.473,6
11420,2.077,10
11219,1.482,6
10468,1.071,5
11204,1.589,4
10462,1.475,7
11205,0.945,3
10454,1.048,5
11422,2.004,7
11413,3.104,5
11419,1.119,4
10463,1.45,2
10305,4.125,6
10010,0.382,5
10460,1.312,3
10025,0.752,2
10304,3.876,3
11225,0.884,4
10023,0.49,1
10312,7.681,N/A
11378,2.577,3
11209,2.12,8
10012,0.323,N/A
10453,0.916,4
10014,0.55,N/A
10456,1.018,4
11418,1.633,1
10301,3.607,7
10452,0.988,3
11374,0.943,5
10459,0.82,8
10128,0.466,N/A
11232,1.191,4
10024,0.858,1
11237,0.984,1
11417,1.119,2
10021,0.381,3
11361,1.766,4
11433,1.552,N/A
11231,1.422,2
11367,2.356,10
10032,0.655,4
10033,0.596,2
11691,2.753,9
11358,1.949,N/A
11102,0.789,2
10009,0.617,1
11412,1.647,1
10465,3.39,1
10455,0.713,7
11357,2.811,N/A
10473,2.139,4
11365,2.498,5
11421,1.29,6
10034,1.09,1
11224,1.586,1
11106,0.855,2
11369,1.09,4
11379,2.075,1
11228,1.472,4
10475,1.731,2
10031,0.649,N/A
11423,1.413,5
10028,0.313,5
11103,0.711,2
11416,0.662,3
10309,6.716,3
10303,3.144,N/A
11364,2.468,1
11370,1.49,4
10310,1.795,N/A
11414,2.312,N/A
10007,0.159,5
11105,1.682,2
11429,1.294,5
10474,1.529,5
10037,0.257,N/A
11356,1.577,N/A
10030,0.279,3
10302,1.189,N/A
10026,0.332,2
10075,0.184,1
10038,0.3,2
11415,0.566,1
10470,1.43,2
11428,0.832,2
11411,1.168,4
10040,0.382,1
10308,1.969,1
11362,2.531,N/A
11427,1.581,3
11436,0.793,1
11004,0.95,4
11104,0.388,1
11426,1.349,N/A
11366,1.093,1
10471,2.57,1
10004,0.545,N/A
10039,0.437,1
11239,0.617,N/A
11694,1.336,1
11363,0.86,2
11693,0.986,1
11692,1.002,N/A
11360,1.393,1
10006,0.092,N/A
10005,0.073,N/A
10464,3.471,N/A
10307,1.963,N/A
10020,0.028,N/A
11001,2.23,1
11697,2.595,N/A
10280,0.116,N/A
11040,4.786,1
10044,0.23,N/A
10069,0.096,N/A
10119,0.016,N/A
11005,0.183,N/A
11430,6.999,N/A
11109,0.05,N/A
10282,0.069,N/A
11359,0.25,N/A
10279,0.0,N/A
10111,0.0,N/A
10803,2.188,N/A
10153,0.0,N/A
10103,0.0,N/A
11251,0.0,N/A
00083,0.0,N/A
11371,1.095,N/A
