zip,sqmiles,value
11207,2.672,3.74
11101,2.604,4.99
10016,0.532,24.44
11201,1.407,5.69
10019,0.688,14.53
10022,0.427,16.39
10314,13.7,0.07
10036,0.439,N/A
10013,0.55,10.91
10001,0.615,8.13
11203,2.145,4.2
11385,3.615,1.38
11234,7.41,0.81
11208,3.577,2.52
11236,3.599,1.94
11434,3.268,1.22
11226,1.289,3.1
10002,0.879,4.55
11220,1.745,1.15
10467,2.337,3.0
11235,2.244,4.46
11233,1.349,2.22
11355,1.735,5.19
11212,1.539,8.45
11206,1.434,2.09
11354,2.178,0.92
11377,2.537,1.58
10018,0.323,9.29
11213,1.09,2.75
11211,2.312,2.16
11230,1.84,5.98
11368,2.63,1.14
11373,1.522,3.29
10017,0.317,9.46
11432,2.149,3.26
10306,7.475,0.94
10011,0.662,6.04
10003,0.576,3.47
11215,2.177,4.59
11217,0.75,5.33
10029,0.812,7.39
10461,2.393,N/A
11216,0.935,N/A
11218,1.428,7.0
10458,1.005,7.96
11238,1.107,0.9
10457,1.059,3.78
11221,1.383,3.62
11375,1.989,3.52
11210,1.642,3.65
11223,2.074,1.93
10035,1.424,2.81
11214,2.169,2.31
10472,1.054,N/A
10065,0.38,15.79
10466,2.012,4.47
11229,2.158,3.71
10451,1.029,4.86
11222,1.535,2.61
11372,0.741,8.1
11435,1.529,2.62
10027,0.869,N/A
10469,2.473,2.43
11420,2.077,4.81
11219,1.482,4.05
10468,1.071,4.67
11204,1.589,2.52
10462,1.475,4.75
11205,0.945,3.17
10454,1.048,4.77
11422,2.004,3.49
11413,3.104,1.61
11419,1.119,3.57
10463,1.45,1.38
10305,4.125,1.45
10010,0.382,13.09
10460,1.312,2.29
10025,0.752,2.66
10304,3.876,0.77
11225,0.884,4.52
10023,0.49,2.04
10312,7.681,N/A
11378,2.577,1.16
11209,2.12,3.77
10012,0.323,N/A
10453,0.916,4.37
10014,0.55,N/A
10456,1.018,3.93
11418,1.633,0.61
10301,3.607,1.94
10452,0.988,3.04
11374,0.943,5.3
10459,0.82,9.76
10128,0.466,N/A
11232,1.191,3.36
10024,0.858,1.17
11237,0.984,1.02
11417,1.119,1.79
10021,0.381,7.87
11361,1.766,2.27
11433,1.552,N/A
11231,1.422,1.41
11367,2.356,4.24
10032,0.655,6.11
10033,0.596,3.36
11691,2.753,3.27
11358,1.949,N/A
11102,0.789,2.53
10009,0.617,1.62
11412,1.647,0.61
10465,3.39,0.29
10455,0.713,9.82
11357,2.811,N/A
10473,2.139,1.87
11365,2.498,2.0
11421,1.29,4.65
10034,1.09,0.92
11224,1.586,0.63
11106,0.855,2.34
11369,1.09,3.67
11379,2.075,0.48
11228,1.472,2.72
10475,1.731,1.16
10031,0.649,N/A
11423,1.413,3.54
10028,0.313,15.97
11103,0.711,2.81
11416,0.662,4.53
10309,6.716,0.45
10303,3.144,N/A
11364,2.468,0.41
11370,1.49,2.68
10310,1.795,N/A
11414,2.312,N/A
10007,0.159,31.45
11105,1.682,1.19
11429,1.294,3.86
10474,1.529,3.27
10037,0.257,N/A
11356,1.577,N/A
10030,0.279,10.75
10302,1.189,N/A
10026,0.332,6.02
10075,0.184,5.43
10038,0.3,6.67
11415,0.566,1.77
10470,1.43,1.4
11428,0.832,2.4
11411,1.168,3.42
10040,0.382,2.62
10308,1.969,0.51
11362,2.531,N/A
11427,1.581,1.9
11436,0.793,1.26
11004,0.95,4.21
11104,0.388,2.58
11426,1.349,N/A
11366,1.093,0.91
10471,2.57,0.39
10004,0.545,N/A
10039,0.437,2.29
11239,0.617,N/A
11694,1.336,0.75
11363,0.86,2.33
11693,0.986,1.01
11692,1.002,N/A
11360,1.393,0.72
10006,0.092,N/A
10005,0.073,N/A
10464,3.471,N/A
10307,1.963,N/A
10020,0.028,N/A
11001,2.23,0.45
11697,2.595,N/A
10280,0.116,N/A
11040,4.786,0.21
10044,0.23,N/A
10069,0.096,N/A
10119,0.016,N/A
11005,0.183,N/A
11430,6.999,N/A
11109,0.05,N/A
10282,0.069,N/A
11359,0.25,N/A
10279,0.0,N/A
10111,0.0,N/A
10803,2.188,N/A
10153,0.0,N/A
10103,0.0,N/A
11251,0.0,N/A
00083,0.0,N/A
11371,1.095,N/A
