zip,sqmiles,value
11207,2.672,153
11101,2.604,122
10016,0.532,87
11201,1.407,79
10019,0.688,106
10022,0.427,71
10314,13.7,183
10036,0.439,85
10013,0.55,104
10001,0.615,62
11203,2.145,74
11385,3.615,88
11234,7.41,107
11208,3.577,98
11236,3.599,102
11434,3.268,94
11226,1.289,66
10002,0.879,114
11220,1.745,48
10467,2.337,104
11235,2.244,64
11233,1.349,67
11355,1.735,82
11212,1.539,62
11206,1.434,73
11354,2.178,91
11377,2.537,83
10018,0.323,60
11213,1.09,42
11211,2.312,85
11230,1.84,107
11368,2.63,58
11373,1.522,91
10017,0.317,68
11432,2.149,64
10306,7.475,67
10011,0.662,92
10003,0.576,55
11215,2.177,45
11217,0.75,58
10029,0.812,49
10461,2.393,51
11216,0.935,51
11218,1.428,63
10458,1.005,69
11238,1.107,43
10457,1.059,86
11221,1.383,45
11375,1.989,70
11210,1.642,71
11223,2.074,79
10035,1.424,101
11214,2.169,62
10472,1.054,100
10065,0.38,29
10466,2.012,46
11229,2.158,65
10451,1.029,78
11222,1.535,58
11372,0.741,34
11435,1.529,40
10027,0.869,63
10469,2.473,50
11420,2.077,59
11219,1.482,82
10468,1.071,63
11204,1.589,42
10462,1.475,70
11205,0.945,32
10454,1.048,97
11422,2.004,62
11413,3.104,48
11419,1.119,44
10463,1.45,65
10305,4.125,72
10010,0.382,37
10460,1.312,53
10025,0.752,56
10304,3.876,84
11225,0.884,26
10023,0.49,39
10312,7.681,71
11378,2.577,63
11209,2.12,56
10012,0.323,30
10453,0.916,53
10014,0.55,33
10456,1.018,58
11418,1.633,51
10301,3.607,62
10452,0.988,46
11374,0.943,85
10459,0.82,56
10128,0.466,42
11232,1.191,29
10024,0.858,47
11237,0.984,56
11417,1.119,43
10021,0.381,27
11361,1.766,66
11433,1.552,26
11231,1.422,68
11367,2.356,29
10032,0.655,59
10033,0.596,54
11691,2.753,52
11358,1.949,29
11102,0.789,43
10009,0.617,29
11412,1.647,24
10465,3.39,40
10455,0.713,45
11357,2.811,37
10473,2.139,44
11365,2.498,29
11421,1.29,28
10034,1.09,53
11224,1.586,24
11106,0.855,33
11369,1.09,32
11379,2.075,48
11228,1.472,40
10475,1.731,40
10031,0.649,14
11423,1.413,31
10028,0.313,29
11103,0.711,16
11416,0.662,21
10309,6.716,44
10303,3.144,56
11364,2.468,21
11370,1.49,29
10310,1.795,21
11414,2.312,35
10007,0.159,39
11105,1.682,42
11429,1.294,29
10474,1.529,48
10037,0.257,44
11356,1.577,37
10030,0.279,13
10302,1.189,23
10026,0.332,28
10075,0.184,12
10038,0.3,20
11415,0.566,13
10470,1.43,16
11428,0.832,23
11411,1.168,21
10040,0.382,38
10308,1.969,13
11362,2.531,21
11427,1.581,22
11436,0.793,14
11004,0.95,18
11104,0.388,11
11426,1.349,19
11366,1.093,22
10471,2.57,18
10004,0.545,18
10039,0.437,13
11239,0.617,11
11694,1.336,10
11363,0.86,11
11693,0.986,28
11692,1.002,8
11360,1.393,13
10006,0.092,5
10005,0.073,3
10464,3.471,10
10307,1.963,10
10020,0.028,2
11001,2.23,7
11697,2.595,5
10280,0.116,6
11040,4.786,3
10044,0.23,12
10069,0.096,1
10119,0.016,1
11005,0.183,0
11430,6.999,2
11109,0.05,1
10282,0.069,5
11359,0.25,2
10279,0.0,13
10111,0.0,0
10803,2.188,0
10153,0.0,0
10103,0.0,0
11251,0.0,0
00083,0.0,0
11371,1.095,0
