zip,sqmiles,value
11207,2.672,57.26
11101,2.604,46.85
10016,0.532,163.53
11201,1.407,56.15
10019,0.688,154.07
10022,0.427,166.28
10314,13.7,13.36
10036,0.439,193.62
10013,0.55,189.09
10001,0.615,100.81
11203,2.145,34.5
11385,3.615,24.34
11234,7.41,14.44
11208,3.577,27.4
11236,3.599,28.34
11434,3.268,28.76
11226,1.289,51.2
10002,0.879,129.69
11220,1.745,27.51
10467,2.337,44.5
11235,2.244,28.52
11233,1.349,49.67
11355,1.735,47.26
11212,1.539,40.29
11206,1.434,50.91
11354,2.178,41.78
11377,2.537,32.72
10018,0.323,185.76
11213,1.09,38.53
11211,2.312,36.76
11230,1.84,58.15
11368,2.63,22.05
11373,1.522,59.79
10017,0.317,214.51
11432,2.149,29.78
10306,7.475,8.96
10011,0.662,138.97
10003,0.576,95.49
11215,2.177,20.67
11217,0.75,77.33
10029,0.812,60.34
10461,2.393,21.31
11216,0.935,54.55
11218,1.428,44.12
10458,1.005,68.66
11238,1.107,38.84
10457,1.059,81.21
11221,1.383,32.54
11375,1.989,35.19
11210,1.642,43.24
11223,2.074,38.09
10035,1.424,70.93
11214,2.169,28.58
10472,1.054,94.88
10065,0.38,76.32
10466,2.012,22.86
11229,2.158,30.12
10451,1.029,75.8
11222,1.535,37.79
11372,0.741,45.88
11435,1.529,26.16
10027,0.869,72.5
10469,2.473,20.22
11420,2.077,28.41
11219,1.482,55.33
10468,1.071,58.82
11204,1.589,26.43
10462,1.475,47.46
11205,0.945,33.86
10454,1.048,92.56
11422,2.004,30.94
11413,3.104,15.46
11419,1.119,39.32
10463,1.45,44.83
10305,4.125,17.45
10010,0.382,96.86
10460,1.312,40.4
10025,0.752,74.47
10304,3.876,21.67
11225,0.884,29.41
10023,0.49,79.59
10312,7.681,9.24
11378,2.577,24.45
11209,2.12,26.42
10012,0.323,92.88
10453,0.916,57.86
10014,0.55,60.0
10456,1.018,56.97
11418,1.633,31.23
10301,3.607,17.19
10452,0.988,46.56
11374,0.943,90.14
10459,0.82,68.29
10128,0.466,90.13
11232,1.191,24.35
10024,0.858,54.78
11237,0.984,56.91
11417,1.119,38.43
10021,0.381,70.87
11361,1.766,37.37
11433,1.552,16.75
11231,1.422,47.82
11367,2.356,12.31
10032,0.655,90.08
10033,0.596,90.6
11691,2.753,18.89
11358,1.949,14.88
11102,0.789,54.5
10009,0.617,47.0
11412,1.647,14.57
10465,3.39,11.8
10455,0.713,63.11
11357,2.811,13.16
10473,2.139,20.57
11365,2.498,11.61
11421,1.29,21.71
10034,1.09,48.62
11224,1.586,15.13
11106,0.855,38.6
11369,1.09,29.36
11379,2.075,23.13
11228,1.472,27.17
10475,1.731,23.11
10031,0.649,21.57
11423,1.413,21.94
10028,0.313,92.65
11103,0.711,22.5
11416,0.662,31.72
10309,6.716,6.55
10303,3.144,17.81
11364,2.468,8.51
11370,1.49,19.46
10310,1.795,11.7
11414,2.312,15.14
10007,0.159,245.28
11105,1.682,24.97
11429,1.294,22.41
10474,1.529,31.39
10037,0.257,171.21
11356,1.577,23.46
10030,0.279,46.59
10302,1.189,19.34
10026,0.332,84.34
10075,0.184,65.22
10038,0.3,66.67
11415,0.566,22.97
10470,1.43,11.19
11428,0.832,27.64
11411,1.168,17.98
10040,0.382,99.48
10308,1.969,6.6
11362,2.531,8.3
11427,1.581,13.92
11436,0.793,17.65
11004,0.95,18.95
11104,0.388,28.35
11426,1.349,14.08
11366,1.093,20.13
10471,2.57,7.0
10004,0.545,33.03
10039,0.437,29.75
11239,0.617,17.83
11694,1.336,7.49
11363,0.86,12.79
11693,0.986,28.4
11692,1.002,7.98
11360,1.393,9.33
10006,0.092,54.35
10005,0.073,41.1
10464,3.471,2.88
10307,1.963,5.09
10020,0.028,71.43
11001,2.23,3.14
11697,2.595,1.93
10280,0.116,51.72
11040,4.786,0.63
10044,0.23,52.17
10069,0.096,10.42
10119,0.016,62.5
11005,0.183,N/A
11430,6.999,0.29
11109,0.05,20.0
10282,0.069,72.46
11359,0.25,8.0
10279,0.0,N/A
10111,0.0,N/A
10803,2.188,N/A
10153,0.0,N/A
10103,0.0,N/A
11251,0.0,N/A
00083,0.0,N/A
11371,1.095,N/A
